name
"Kingsley, Charles"
"Cooper, James Fenimore"
"Gandhi, Mahatma"
"Carr, John, Sir"
"Stockton, Frank Richard"
"Yeardley, John"
"Venables, Edmund"
"Musick, John R. (John Roy)"
"Oppenheim, E. Phillips (Edward Phillips)"
"Vachell, Horace Annesley"
"Fletcher, J. S. (Joseph Smith)"
"Bowman, Earl Wayland"
"MacDonald, George"
"Zitkala-Sa"
"Le Fanu, Joseph Sheridan"
"Mill, John Stuart"
"Garvice, Charles"
"Raleigh, Walter Alexander, Sir"
"Wells, Philip P. (Philip Patterson)"
"Hugo, Victor"
"Howard, J. E."
"Bull, Thomas"
"Clarkson, Thomas"
"Musick, John R. (John Roy)"
"Unknown Author"
"Long, William J. (William Joseph)"
"Livingstone, David"
"Troward, T. (Thomas)"
"Waterloo, Stanley"
"Brampton, Henry Hawkins, Baron"
"Guest, Edgar A. (Edgar Albert)"
"Pyle, Howard"
"Van Dyke, Henry"
"Harkness, Peter T."
"Stevenson, Burton Egbert"
"McCracken, Elizabeth"
"Collins, J. E. (Joseph Edmund)"
"Roosevelt, Franklin D. (Franklin Delano)"
"Robinson, Edwin Arlington"
"Drayton, Daniel"
"Isham, Frederic Stewart"
"Bilbrough, E. Ernest"
"Raine, William MacLeod"
"Jellicoe, John Rushworth"
"Shakespeare, William"
"Williamson, C. N. (Charles Norris)"
"Hubbard, Elbert"
"Farnol, Jeffery"
"Dulabone, Chris"
"Meredith, George"
"Lewes, George Henry"
"Galt, John"
"Mundy, Talbot"
"Kingsley, Charles"
"Gale, Zona"
"McCabe, Joseph"
"Lucian, of Samosata"
"Hughes, Louis"
"Baum, L. Frank (Lyman Frank)"
"Perry, Nora"
"Cooper, James Fenimore"
"Various"
"Spyri, Johanna"
"Eddy, Mary Baker"
"Mackay, Isabel Ecclestone"
"Herrman, Karl Stephen"
"Twain, Mark"
"Train, Arthur Cheney"
"Chambers, Robert W. (Robert William)"
"Fletcher, J. S. (Joseph Smith)"
"Lansing, Robert"
"Unknown Author"
"Doyle, Arthur Conan"
"Le Gallienne, Richard"
"Unknown Author"
"Greene, Homer"
"Shakespeare, William"
"Various"
"Boswell, James"
"De La Pasture, Henry, Mrs."
"Blaisdell, Albert F. (Albert Franklin)"
"Various"
"Turnbull, Lawrence, Mrs."
"Various"
"Le Gallienne, Richard"
"Flaubert, Gustave"
"Yeats, W. B. (William Butler)"
"Wells, H. G. (Herbert George)"
"Guest, Edgar A. (Edgar Albert)"
"Gregory, Francis Thomas"
"Richardson, Samuel"
"Eliot, Ethel Cook"
"Various"
"Hope, Laura Lee"
"Burnett, Frances Hodgson"
"Unknown Author"
"Baum, L. Frank (Lyman Frank)"
"Brooke, L. Leslie (Leonard Leslie)"
"Wells, H. G. (Herbert George)"
"Unknown Author"
"Wace"
"White, William Patterson"
"Copplestone, Bennet"
"Various"
"Freeman, R. Austin (Richard Austin)"
"Lord, John"
"Lord, John"
"Atticus"
"Van Dyke, Henry"
"Alcott, William A. (William Andrus)"
"Unknown Author"
"Lord, John"
"Root, Elihu"
"Unknown Author"
"Summerhayes, Martha"
"Longfellow, Henry Wadsworth"
"Powers, Leland Todd"
"Unknown Author"
"Green, Alice Stopford"
"Trask, Katrina"
"Vance, Louis Joseph"
"Austen, Jane"
"Shaw, Bernard"
"McGaffey, Kenneth"
"Dell, Ethel M. (Ethel May)"
"Carlyle, Thomas"
"Clinton, Bill"
"Bridges, Victor"
"Smith, R. Cadwallader"
"Cotter, Frank J."
"Jackson, Helen Hunt"
"Adams, E. E. (Ezra Eastman)"
"Hay, John"
"Jackson, Helen Hunt"
"American Tract Society"
"W. M."
"Crawford, F. Marion (Francis Marion)"
"Lord, John"
"Euripides"
"Conrad, Joseph"
"Lord, John"
"Lord, John"
"Lord, John"
"Oppenheim, E. Phillips (Edward Phillips)"
"Oppenheim, E. Phillips (Edward Phillips)"
"Birmingham, George A."
"Browne, Theo. Stephenson"
"Lang, Andrew"
"Wiggin, Kate Douglas Smith"
"Stevenson, Augusta"
"Hodgson, William Hope"
"Unknown Author"
"Various"
"Cooper, James Fenimore"
"Sienkiewicz, Henryk"
"Verne, Jules"
"Quiller-Couch, Arthur"
"Child, Lydia Maria"
"Conrad, Joseph"
"Unknown Author"
"Mundy, Talbot"
"Fitzhugh, Percy Keese"
"Unknown Author"
"Wodehouse, P. G. (Pelham Grenville)"
"Yonge, Charles Duke"
"Orczy, Emmuska Orczy, Baroness"
"Brooke, L. Leslie (Leonard Leslie)"
"London, Jack"
"Cooke, John Esten"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Wilde, Oscar"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Hume, David"
"Oppenheim, E. Phillips (Edward Phillips)"
"Langworthy, John Luther"
"Unknown Author"
"MacDonald, George"
"Barnum, Vance"
"Conrad, Joseph"
"Ferri, Enrico"
"Doyle, Arthur Conan"
"Bradley, Alice"
"Grattan, Thomas Colley"
"Beach, Charles Amory"
"Boothby, Guy"
"Wodehouse, P. G. (Pelham Grenville)"
"Gay, John"
"Unknown Author"
"International Committee of the Red Cross"
"Wells, H. G. (Herbert George)"
"Montagu, Mary Wortley, Lady"
"Trumbull, H. Clay (Henry Clay)"
"Grayson, David"
"Grayson, David"
"Various"
"Various"
"Unknown Author"
"Godwin, William"
"Cibber, Theophilus"
"Snell, Roy J. (Roy Judson)"
"Burroughs, Edgar Rice"
"Lang, Andrew"
"Kerr, Robert"
"Brand, Max"
"Spenser, Edmund"
"Beynon, William George Laurence, Sir"
"Grayson, David"
"Shakespeare, William"
"Unknown Author"
"Smith, Arthur Cosslett"
"Long, William J. (William Joseph)"
"Fiske, John"
"Elgin, James Bruce, Earl of"
"Clarkson, Thomas"
"Henderson, Hubert Douglas, Sir"
"Adams, Brooks"
"Various"
"Locke, John"
"Locke, John"
"Smith, R. Cadwallader"
"Unknown"
"Benwell, John"
"Poe, Edgar Allan"
"Fletcher, John"
"Stribling, T. S. (Thomas Sigismund)"
"Cibber, Theophilus"
"Glaspell, Susan"
"Blackwood, Algernon"
"Skeat, Walter W. (Walter William)"
"Various"
"Lord, John"
"Keeling, Annie E."
"Wilkinson, Spenser"
"Poe, Edgar Allan"
"Havergal, Frances Ridley"
"Halleck, Reuben Post"
"Daniel, Florence"
"Clarkson, Thomas"
"Caldecott, Randolph"
"Hunt, Leigh"
"Polo, Marco"
"Gasparin, Agénor, comte de"
"Heffner, George H."
"Unknown Author"
"Poe, Edgar Allan"
"Lord, John"
"Lord, John"
"Cram, Ralph Adams"
"Unknown Author"
"Lord, John"
"Lord, John"
"Lord, John"
"Lord, John"
"Poe, Edgar Allan"
"Airy, George Biddell"
"Unknown Author"
"Caesar, Julius"
"Bennett, Arnold"
"Blackwood, Algernon"
"Freeman, Edward A. (Edward Augustus)"
"Cary, Henry Francis"
"Epictetus"
"Hodgson, William Hope"
"Various"
"Lenclos, Ninon de"
"Various"
"Wren, Percival Christopher"
"Greenwood, Arthur"
"Kingsley, Charles"
"Grant, Ulysses S. (Ulysses Simpson)"
"Vizetelly, Ernest Alfred"
"Darwin, Erasmus"
"Jacobus, de Cessolis, active 1288-1322"
"Hakluyt, Richard"
"Kitson, Harry Dexter"
"Gardiner, A. G. (Alfred George)"
"Rizal, José"
"Harris, Thaddeus Mason"
"Van Dyke, Henry"
"Grant, Ulysses S. (Ulysses Simpson)"
"Roget, Peter Mark"
"Bury, J. B. (John Bagnell)"
"Frey, Hildegard G."
"Zola, Émile"
"Old Sleuth"
"Kossuth, Lajos"
"Cooke, John Esten"
"Ellenborough, Edward Law, Earl of"
"Bridge, Cyprian, Sir"
"Various"
"Curwood, James Oliver"
"Langworthy, John Luther"
"Unknown Author"
"Hardy, Thomas"
"Unknown Author"
"Lingard, John"
"Mommsen, Theodor"
"Mommsen, Theodor"
"Mommsen, Theodor"
"Mommsen, Theodor"
"Mommsen, Theodor"
"Mommsen, Theodor"
"Locke, William John"
"De Quincey, Thomas"
"Shiel, M. P. (Matthew Phipps)"
"Unknown Author"
"Hobson, J. A. (John Atkinson)"
"Various"
"Melville, Herman"
"Bullitt, William C. (William Christian)"
"Schopenhauer, Arthur"
"Schopenhauer, Arthur"
"Abercrombie, Lascelles"
"Pindar"
"Le Queux, William"
"Various"
"Unknown Author"
"Zola, Émile"
"Various"
"Ostrovsky, Aleksandr Nikolaevich"
"Stowe, Harriet Beecher"
"Alger, Horatio, Jr."
"Chaplin, Ralph"
"Newell, Jane H. (Jane Hancox)"
"Barrett, Frank"
"Walton, O. F., Mrs."
"Alger, Horatio, Jr."
"Unknown Author"
"Various"
"Schopenhauer, Arthur"
"Schopenhauer, Arthur"
"McCleary, J. T. (James Thompson)"
"Unknown Author"
"Fox, John"
"London, Jack"
"Merrill, Rufus"
"Draycott, Gladys M."
"Schopenhauer, Arthur"
"London, Jack"
"Allen, James"
"Schopenhauer, Arthur"
"Spafford, Oliver"
"Falkner, John Meade"
"Phelps, Elizabeth Stuart"
"Pyle, Howard"
"Rostand, Edmond"
"Unknown Author"
"Unknown"
"London, Jack"
"Sheard, Virna"
"Lomax, E. L. (Edward Lloyd)"
"Rushkoff, Douglas"
"Unknown"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Jackson, Helen Hunt"
"Bramah, Ernest"
"Torrey, Bradford"
"Stevenson, Robert Louis"
"Eliot, George"
"Unknown Author"
"Brayman, James O."
"Anonymous"
"Barrie, J. M. (James Matthew)"
"Lucas, E. V. (Edward Verrall)"
"Bramah, Ernest"
"Jagor, Fedor"
"Miller, John Maurice"
"Bingham, Hiram"
"Willson, Thomas E."
"Appleton, Victor"
"Le Feuvre, Amy"
"Scott, Walter"
"Unknown"
"Altsheler, Joseph A. (Joseph Alexander)"
"Litchfield, Grace Denio"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Sterne, Laurence"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Eastman, Mary H. (Mary Henderson)"
"Home, Gordon"
"Bolles, John R. (John Rogers)"
"Thomson, A. T., Mrs."
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Richardson, Samuel"
"Doyle, Arthur Conan"
"Swift, Jonathan"
"Burton, Robert"
"Coleridge, Samuel Taylor"
"Kerr, Robert"
"Haywood, Eliza Fowler"
"Daggett, David"
"Dunsany, Lord"
"Yonge, Charles Duke"
"Consumers' League of New York City"
"University of Oxford. Faculty of Modern History"
"Gogol, Nikolai Vasilevich"
"Cozzens, Samuel Woodworth"
"Christian Brothers"
"Le Gallienne, Richard"
"Boyd, Mary Stuart"
"Unknown Author"
"Crowquill, Alfred"
"Sinclair, May"
"Inglis, James"
"Bishop, Nathaniel H. (Nathaniel Holmes)"
"Le Gallienne, Richard"
"Machiavelli, Niccolò"
"Livy"
"Conrad, Joseph"
"Hewet, Henry W."
"Wilder, Sampson Vryling Stoddard"
"Hodgson, William Hope"
"Schopenhauer, Arthur"
"Unknown"
"Johnson, Samuel"
"Couturat, Louis"
"Griggs, Edward Howard"
"Various"
"Johnson, James"
"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society"
"Favenc, Ernest"
"Kitson, Arthur"
"Yerkes, Robert Mearns"
"Toombs, Frederick R."
"Various"
"Farrar, F. W. (Frederic William)"
"Beaumont, Francis"
"Vale, Ferna"
"Walton, O. F., Mrs."
"Carlyle, Thomas"
"Beaumont, Francis"
"Lamb, Charles"
"Webster, Angus Duncan"
"Teachers of the School Street Universalist Sunday School. Boston"
"Various"
"Wallace, Alfred Russel"
"Griffiths, Charles John"
"Cox, James"
"Unknown Author"
"Saint-Pierre, Bernardin de"
"Twain, Mark"
"Beesly, A. H. (Augustus Henry)"
"Leighton, John"
"Dwyer, James Francis"
"Fellowes, W. D. (William Dorset)"
"Archer, William"
"Emmerich, Anna Katharina"
"Various"
"Rolland, Romain"
"Camp, Wadsworth"
"Roth, Lewis"
"Burgess, Gelett"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Staley, Edgcumbe"
"Riley, Harvey"
"Unknown Author"
"Seton, Ernest Thompson"
"Le Feuvre, Amy"
"Benson, E. F. (Edward Frederic)"
"Cabell, James Branch"
"Cassius Dio Cocceianus"
"Smiles, Samuel"
"Hunt, Leigh"
"Brand, Max"
"Unknown Author"
"Anonymous"
"Whicher, George Frisbie"
"London, Jack"
"Cassius Dio Cocceianus"
"Young, Egerton Ryerson"
"Haggard, H. Rider (Henry Rider)"
"Unknown Author"
"Unknown Author"
"Unknown Author"
"Various"
"Blackwood, Algernon"
"Davies, Ebenezer"
"Douglas, O."
"Millay, Edna St. Vincent"
"Swift, Jonathan"
"Unknown Author"
"Donnell, Annie Hamilton"
"Jenness, Theodora R. (Theodora Robinson)"
"Various"
"Standish, Burt L."
"Braddon, M. E. (Mary Elizabeth)"
"Livy"
"United States. War Department"
"Carlyle, Thomas"
"Le Gallienne, Richard"
"Bennett, Arnold"
"Anonymous"
"Le Gallienne, Richard"
"Hawks, Francis L. (Francis Lister)"
"Hall, Mosiah"
"Green, Horace"
"Unknown Author"
"Cambrensis, Giraldus"
"Kingsley, Charles"
"Unknown Author"
"Le Gallienne, Richard"
"Various"
"Taylor, Bayard"
"Unknown Author"
"Jackson, Helen Hunt"
"Sunity Devee, Maharani of Cooch Behar"
"Ballantyne, R. M. (Robert Michael)"
"James, Henry"
"Bindloss, Harold"
"Bolles, John R. (John Rogers)"
"Palmer, Frederick"
"Various"
"Various"
"Lagerlöf, Selma"
"Burnham, Margaret"
"Unknown Author"
"Cooper, James Fenimore"
"Frye, William Edward"
"Marlowe, Christopher"
"Jacob, P. L."
"White, Stewart Edward"
"Futrelle, Jacques"
"Adams, Samuel Hopkins"
"Aytoun, William Edmondstoune"
"Hill, Samuel Charles"
"Unknown Author"
"Stockton, Frank Richard"
"Le Gallienne, Richard"
"Grey, Zane"
"Various"
"Unknown Author"
"Various"
"Burnham, Margaret"
"Sanday, W. (William)"
"Morley, John"
"Hughes, Rupert"
"Lincoln, Jeanie Gould"
"Glyn, Elinor"
"London, Jack"
"Frank, Tenney"
"Lambert Chambers, Mrs."
"Aitken, Edward Hamilton"
"France, Hector"
"Various"
"Anonymous"
"Hodgson, William Hope"
"Kreisler, Fritz"
"Woodson, Carter Godwin"
"Furse, Katharine"
"Shaw, Bernard"
"Murray, D. L. (David Leslie)"
"Ward, John"
"Stockton, Frank Richard"
"De Windt, Harry"
"Unknown"
"Curwood, James Oliver"
"Burt, Katharine Newlin"
"Anonymous"
"Tarkington, Booth"
"Unknown Author"
"Anonymous"
"Anonymous"
"Hamsun, Knut"
"Wilderspin, Samuel"
"Chesnutt, Charles W. (Charles Waddell)"
"Anonymous"
"Moore, Frederick Ferdinand"
"Anonymous"
"White, Stewart Edward"
"Unknown Author"
"Leighton, Robert"
"Abbott, Jacob"
"Unknown Author"
"Unknown Author"
"Kingsley, Charles"
"Unknown"
"Osborne, David, Mrs. (Fanny)"
"Bourne, John, C.E."
"Banerjea, S. B."
"Carroll, Lewis"
"Hardy, Thomas"
"Shakespeare, William"
"Clay, Albert Tobias"
"Wetterau, John Moncure"
"Wetterau, John Moncure"
"Wetterau, John Moncure"
"Wetterau, John Moncure"
"Unknown Author"
"Ruhl, Arthur"
"Marcantonio, Vito"
"Shakespeare, William"
"Steele, Richard, Sir"
"Aldrich, Mildred"
"Johnson, James Weldon"
"Bryant, William Cullen"
"Smith, Elva Sophronia"
"Picton, J. Allanson (James Allanson)"
"Williamson, A. M. (Alice Muriel)"
"Morse, Samuel Finley Breese"
"Morse, Samuel Finley Breese"
"Davis, Richard Harding"
"Shakespeare, William"
"Housman, Laurence"
"Unknown Author"
"Harper, Frances Ellen Watkins"
"Unknown"
"Kingsley, Charles"
"Kingsley, Charles"
"Grimm, Jacob"
"Millington, W. H."
"Brinton, Daniel G. (Daniel Garrison)"
"Shakespeare, William"
"Jacobs, Harriet A. (Harriet Ann)"
"Stephen, Leslie"
"Unknown Author"
"Trusta, H."
"Unknown Author"
"Pfeiffer, Ida"
"Shakespeare, William"
"Barbour, Ralph Henry"
"Cohen, Octavus Roy"
"Fénelon, François de Salignac de La Mothe-"
"Middleton, Richard"
"Cyr, Ellen M."
"Shakespeare, William"
"Crawford, F. Marion (Francis Marion)"
"London, Jack"
"Wharton, Edith"
"Harper, Frances Ellen Watkins"
"Williams, Helen Maria"
"Cheever, Harriet A. (Harriet Anna)"
"Harper, Frances Ellen Watkins"
"Chesnutt, Charles W. (Charles Waddell)"
"Henty, G. A. (George Alfred)"
"Allston, Washington"
"Shakespeare, William"
"France, Anatole"
"Various"
"Hughes, Rupert"
"Hope, Anthony"
"Kingsley, Charles"
"Anonymous"
"Porterfield, Allen Wilson"
"Mill, Mrs. (Jean Oliver)"
"Hazlitt, William"
"Barnum, Richard"
"Shakespeare, William"
"Unknown"
"Blackwood, Algernon"
"Various"
"Doctorow, Cory"
"Quigley, Dorothy"
"Nevinson, Henry Woodd"
"Shakespeare, William"
"Cicero, Marcus Tullius"
"Ainsworth, William Harrison"
"Anonymous"
"Stuart, Ruth McEnery"
"Whyte-Melville, G. J. (George John)"
"Souttar, Henry Sessions"
"Various"
"Ainger, Alfred"
"Woodson, Carter Godwin"
"Shakespeare, William"
"Hartness, James"
"Stoddard, John L. (John Lawson)"
"Anonymous"
"Brand, Max"
"Various"
"Bonte, Willard"
"Ramakrishna Pillai, T. (Thottakadu)"
"Fenn, George Manville"
"Unknown"
"Corner, Miss (Julia)"
"Stratton-Porter, Gene"
"Shakespeare, William"
"Falckenberg, Richard"
"Coleridge, Samuel Taylor"
"Johnson, Edward A. (Edward Austin)"
"Various"
"Wharton, Edith"
"Woodworth, Francis C. (Francis Channing)"
"Stockton, Frank Richard"
"Malan, César"
"Various"
"Shakespeare, William"
"Marchant, Bessie"
"Alger, Horatio, Jr."
"Various"
"Cairns, John"
"Various"
"Standish, Burt L."
"Knevels, Gertrude"
"Various"
"Various"
"Schoolcraft, Henry Rowe"
"Shakespeare, William"
"Tuthill, Cornelia L. (Cornelia Louisa)"
"Edgeworth, Maria"
"Martin, Benj. N. (Benjamin Nicholas)"
"Unknown Author"
"Terry, Jean F. (Jean Finlay)"
"Unknown Author"
"Sweetser, Kate Dickinson"
"Rinehart, Mary Roberts"
"Freeman, R. Austin (Richard Austin)"
"Various"
"Shakespeare, William"
"Strong, James"
"Various"
"Various"
"Seton, Ernest Thompson"
"Rousseau, Jean-Jacques"
"Steward, Austin"
"Nye, Bill"
"Shakespeare, William"
"Abbott, Jacob"
"Whitney, A. D. T. (Adeline Dutton Train)"
"Tarrant, W. G. (William George)"
"Porter, Eleanor H. (Eleanor Hodgman)"
"Davis, Richard Harding"
"Langford, Nathaniel Pitt"
"Houghton, Eliza Poor Donner"
"Unknown Author"
"Anonymous"
"Anonymous"
"Shakespeare, William"
"Anonymous"
"Ellis, Edward Sylvester"
"Hornung, E. W. (Ernest William)"
"Various"
"Various"
"Garis, Howard Roger"
"Various"
"Various"
"Various"
"Shakespeare, William"
"Gibbs, J. Arthur (Joseph Arthur)"
"Webster, Henry Kitchell"
"Bannerman, Helen"
"Macaulay, Rose"
"Maggard, James H."
"Chalmers, Margaret Piper"
"Sheldon, Lurana"
"Kincaid, C. A. (Charles Augustus)"
"Unknown Author"
"Various"
"Shakespeare, William"
"Various"
"Stowe, Harriet Beecher"
"Drinkwater, John"
"Various"
"Baldwin, James"
"Various"
"Unknown Author"
"Shakespeare, William"
"Unknown Author"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Shakespeare, William"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Van Dyke, Henry"
"Betham, Matilda"
"Betham, Matilda"
"Brand, Max"
"Various"
"Cooke, Marjorie Benton"
"Becker, Carl Heinrich"
"McGowan, Richard"
"Shakespeare, William"
"Bénézet, Louis Paul"
"Various"
"Unknown Author"
"King, Philip Parker"
"Reeks, H. Caulton (Harry Caulton)"
"Shakespeare, William"
"Various"
"Lauder, Harry, Sir"
"Curtis, William Eleroy"
"Kelly, Sophia"
"Webb, Frank J."
"Gent, Thomas"
"Price, Edith Ballinger"
"Glaspell, Susan"
"Anonymous"
"Various"
